url,thread_id,title,thread_category,answer_by_doctor,title_category
https://www.agnoshealth.com/forums/1,1,เป็นคล้ายๆผดผื่นที่ก้นค่ะน้อง9เดือน ผดนูนขุขระ,ผื่นตามร่างกาย (Dermatitis unspecified),ผดผื่นที่ก้นเด็กมักเกิดจากความอับชื้น หรือการระคายเคืองจากสารระคายเคืองต่างๆ เช่น แป้ง สบู่ หรือผงซักฟอก แนะนำให้ดูแลเรื่องความสะอาดและป้องกันความอับชื้นบริเวณก้นและขาหนีบ อาจพิจารณาเปลี่ยนผลิตภัณฑ์ทำความสะอาด แพมเพิร์ส หรือผงซักฟอกให้เป็นสูตรที่ลดการระคายเคือง หรือสูตรสำหรับผิวแพ้ง่าย อาการจะค่อยๆดีขึ้นครับ,เป็นคล้ายๆผดผื่นที่ก้นค่ะน้อง9เดือน ผดนูนขุขระ ผื่นตามร่างกาย (Dermatitis unspecified)
https://www.agnoshealth.com/forums/2,2,"สวัสดีค่ะ หนูตอนนี้อายุ 19 ปี รอบของประจำเดือนมาค่อนข้างผิดปกติ ก็คือ นับจากปีที่แล้ว(2564) 35,54,48,31,44,30 วันตามลำดับ และในปีนี้ (2565)เมื่อลองนับแล้วได้ผลว่าเป็น 46,41,35,29 และ current cycle ตอนนี้ได้ 43วันค่ะ จากการสอบถามคุณแม่มา อายุ 50 ปี ทราบว่าเมื่อสมัยก่อนคุณแม่ก็จะมีประจำเดือนมาไม่ปกติเหมือนกันจนกระทั่งแต่งงานค่ะ ปกติแล้วเมื่อปีก่อน หรือ เดือนก่อนๆเวลาประจำเดือนมาไม่ปกติจะมีสิวขึ้นน้อยมากค่ะ แต่ในเดือนนี้นั้น สิวขึ้นค่อนข้างเยอะมาก ส่วนใหญ่ขึ้นที่คาง และ แก้มค่ะ ส่วนอาการอื่นๆไม่มีค่ะ ไม่ทราบว่าเป็นเรื่องที่น่าอันตรายหรือควรจะต้องรีบพบแพทย์ไหม อยากจะทราบว่าอาการที่เป็นอยู่ตอนนี้มีวิธีการรักษาอย่างไรและถ้าไม่รักษาปล่อยไว้จนโตมากกว่านี้จะได้ไหมคะ",ถุงน้ำรังไข่ (PCOS),จากอาการที่แจ้ง คนไข้มีโอกาสเป็นโรคถุงน้ำรังไข่หรืออาจเกิดจากฮอร์โมนเพศแปรปรวนได้ครับ ควรไปตรวจกับสูตินรีแพทย์เพื่ออัลตร้าซาวน์ยืนยันการวินิจฉัยต่อไป แนวทางการรักษาหากเป็นโรคถุงน้ำรังไข่ก็จะเป็นการทานยาฮอร์โมนครับ โรคนี้ไม่ได้อันตรายถึงชีวิต แต่อาการประจำเดือนมาๆหายๆสิวเยอะหน้ามันขนดกก็จะรบกวนการใช้ชีวิตของคนไข้ได้ ถ้ามีโอกาสก็น่ารักษาครับ,"สวัสดีค่ะ หนูตอนนี้อายุ 19 ปี รอบของประจำเดือนมาค่อนข้างผิดปกติ ก็คือ นับจากปีที่แล้ว(2564) 35,54,48,31,44,30 วันตามลำดับ และในปีนี้ (2565)เมื่อลองนับแล้วได้ผลว่าเป็น 46,41,35,29 และ current cycle ตอนนี้ได้ 43วันค่ะ จากการสอบถามคุณแม่มา อายุ 50 ปี ทราบว่าเมื่อสมัยก่อนคุณแม่ก็จะมีประจำเดือนมาไม่ปกติเหมือนกันจนกระทั่งแต่งงานค่ะ ปกติแล้วเมื่อปีก่อน หรือ เดือนก่อนๆเวลาประจำเดือนมาไม่ปกติจะมีสิวขึ้นน้อยมากค่ะ แต่ในเดือนนี้นั้น สิวขึ้นค่อนข้างเยอะมาก ส่วนใหญ่ขึ้นที่คาง และ แก้มค่ะ ส่วนอาการอื่นๆไม่มีค่ะ ไม่ทราบว่าเป็นเรื่องที่น่าอันตรายหรือควรจะต้องรีบพบแพทย์ไหม อยากจะทราบว่าอาการที่เป็นอยู่ตอนนี้มีวิธีการรักษาอย่างไรและถ้าไม่รักษาปล่อยไว้จนโตมากกว่านี้จะได้ไหมคะ ถุงน้ำรังไข่ (PCOS)"
https://www.agnoshealth.com/forums/3,3,ประจำเดือนไม่มาประมาณ5-6เดือนไปตรวจที่โรงพยาบาลแล้วแต่ไม่ตั้งครรภ์รู้สึกว่าท้องแข็งท้้องโตผิดปกติ,สงสัยภาวะตั้งครรภ์ (Pregnancy not yet confirmed),หมอแนะนำให้ไปตรวจเพิ่มเติมกับสูตินรีแพทย์ อาจต้องตรวจภายในหรืออัลตร้าซาวน์ดูว่ามีก้อนเนื้องอกมดลูกหรือรังไข่หรือไม่ครับ,ประจำเดือนไม่มาประมาณ5-6เดือนไปตรวจที่โรงพยาบาลแล้วแต่ไม่ตั้งครรภ์รู้สึกว่าท้องแข็งท้้องโตผิดปกติ สงสัยภาวะตั้งครรภ์ (Pregnancy not yet confirmed)
https://www.agnoshealth.com/forums/4,4,ปวดตรงข้อมีอาการนิ้วล็อกรวมด้วยค่ะ,ข้ออักเสบรูมาตอยด์ (Rheumatoid arthritis),โรคนิ้วล็อกสามารถทำให้เกิดอาการปวดร่วมด้วยได้ การรักษาเบื้องต้นคือการแช่มือในน้ำอุ่นแล้วบริหารยืดเหยียดนิ้ว ลดการใช้งานที่ต้องกำมือแน่นหรือใช้นิ้วเกี่ยวหิ้วของ หากอาการเป็นมากแนะนำพบหมอกระดูกเพื่อพิจารณาฉีดยาหรือผ่าตัดต่อไปครับ,ปวดตรงข้อมีอาการนิ้วล็อกรวมด้วยค่ะ ข้ออักเสบรูมาตอยด์ (Rheumatoid arthritis)
https://www.agnoshealth.com/forums/6,6,เวลาหลังอาบน้ำทุกครั้ง(ยกเว้นอาบน้ำจากเครื่องทำน้ำอุ่น)จะมีอาการคันและมีผื่นขึ้นบริเวณทั่วขา และก้น ควรทำยังไงดี,ผื่นตามร่างกาย (Dermatitis unspecified),ผื่นคันอาจเกิดจากน้ำที่อาบไม่สะอาด หรือผิวที่แห้งระคายเคืองง่ายจากการอาบน้ำอุ่นบ่อยก็ได้ แนะนำทานยาแก้แพ้ร่วมกับทาโลชั่นเพื่อเพิ่มความชุ่มชื้นแก่ผิวลดการระคายเคือง และอาจพิจารณาตรวจเช็คสภาพน้ำประปาที่ใช้ว่ามีสิ่งปนเปื้อนตกค้างหรือไม่ครับ,เวลาหลังอาบน้ำทุกครั้ง(ยกเว้นอาบน้ำจากเครื่องทำน้ำอุ่น)จะมีอาการคันและมีผื่นขึ้นบริเวณทั่วขา และก้น ควรทำยังไงดี ผื่นตามร่างกาย (Dermatitis unspecified)
https://www.agnoshealth.com/forums/7,7,ประจำเดือนไม่มาเกือบ3เดือน แต่ตรวจขึ้นขีดเดียว มีอาการปวดท้องน้อย รู้สึกเจ็บนม เจ็บหัวนม ก่อนหน้านี้ ไม่สบาย กินแล้วอยากอ้้วก กินได้น้อย,การอักเสบของอุ้งเชิงกราน (Pelvic inflammatory disease),แนะนำให้ลองไปพบสูตินรีแพทย์ เพื่อทำการตรวจภายใน หรืออัลตราซาวน์มดลูกเพิ่มเติมเพื่อหาสาเหตุของความผิดปกติครับ อาจมีเนื้องอกมดลูก หรืออาจเกิดจากฮอร์โมนเพศแปรปรวนผิดปกติก็ได้ครับ,ประจำเดือนไม่มาเกือบ3เดือน แต่ตรวจขึ้นขีดเดียว มีอาการปวดท้องน้อย รู้สึกเจ็บนม เจ็บหัวนม ก่อนหน้านี้ ไม่สบาย กินแล้วอยากอ้้วก กินได้น้อย การอักเสบของอุ้งเชิงกราน (Pelvic inflammatory disease)
https://www.agnoshealth.com/forums/8,8,สวัสดีค่ะคุณหมอ รบกวนสอบถามหน่อยค่ะว่า นิ้วมือมีตุ่มน้ำใสลักษณะประมาณตามรูปของลิ้งก์นี้ https://images.app.goo.gl/YMC7AQips9knM7hx5 ไม่แน่ใจว่าเกิดเพราะสาเหตุอะไรค่ะ เพราะปกติแล้วไม่เคยมีประวัติแพ้อะไรเลย ตุ่มน้ำนี้ไม่มีอาการคันเจ็บแสบค่ะ นานๆไปก็จะหายไปเองโดยไม่ได้ทายาค่ะ จึงอยากจะทราบว่าแบบนี้แปลว่าแพ้อะไรไหมคะ หรือควรจะระวังในการสัมผัสอะไรเป็นพิเศษและถ้าขึ้นแบบนี้ควรจะทายาหรือรักษายังไงคะ ขอบคุณค่ะ,ผื่นตามร่างกาย (Dermatitis unspecified),ตามลักษณะของผื่นแล้ว โดยส่วนใหญ่มักเกี่ยวกับเรื่องความสะอาดเป็นหลักครับ ดังนั้นถ้ารักษาความสะอาดแล้วก็มักจะหายได้เอง หรืออาจเป็นจากการแพ้ได้เช่นกัน แนะนำว่าถ้าเริ่มเป็นนานและบ่อยอาจลองทายาสเตียรอยด์ดูก่อนร่วมกับหลีกเลี่ยงสิ่งที่คิดว่าอาจจะแพ้กับรักษาความสะอาด แล้วถ้ายังเป็นอยู่อาจลองไปพบแพทย์ผิวหนังดูครับ,สวัสดีค่ะคุณหมอ รบกวนสอบถามหน่อยค่ะว่า นิ้วมือมีตุ่มน้ำใสลักษณะประมาณตามรูปของลิ้งก์นี้ https://images.app.goo.gl/YMC7AQips9knM7hx5 ไม่แน่ใจว่าเกิดเพราะสาเหตุอะไรค่ะ เพราะปกติแล้วไม่เคยมีประวัติแพ้อะไรเลย ตุ่มน้ำนี้ไม่มีอาการคันเจ็บแสบค่ะ นานๆไปก็จะหายไปเองโดยไม่ได้ทายาค่ะ จึงอยากจะทราบว่าแบบนี้แปลว่าแพ้อะไรไหมคะ หรือควรจะระวังในการสัมผัสอะไรเป็นพิเศษและถ้าขึ้นแบบนี้ควรจะทายาหรือรักษายังไงคะ ขอบคุณค่ะ ผื่นตามร่างกาย (Dermatitis unspecified)
https://www.agnoshealth.com/forums/9,9,มีอาการได้เสียงกรอบแกลบในหูมั้ยมีอาการเจ็บไปโรงพยาบาลกลัวมีแมลงแต่ตรวจเบื้องต้นไม่ผิดปกติแต่กลับมาทีบ้านมีเสียงกรอบแกลบในหูทำให้นอนไม่ค่อยหลับกังวลมากค่ะอาการพึ่งเป็นตอนหลังจากวิ่งเสร็จรบกลัวคุณหมอด้วยค่ะ,ขี้หูอุดตัน (Impacted cerumen),โดยส่วนใหญ่อาการได้ยินเสียงรบกวนในหูมักเกิดจากขี้หูอุดตันหรือมีสิ่งแปลกปลอมติดค้างในหู ถ้าได้ไปตรวจหูที่โรงพยาบาลแล้วไม่พบอะไรแต่อาการยังไม่หาย แนะนำให้ไปตรวจเพิ่มเติมกับแพทย์เ)พาะทางหูคอจมูก เพื่อหาสาเหตุต่อไปครับ,มีอาการได้เสียงกรอบแกลบในหูมั้ยมีอาการเจ็บไปโรงพยาบาลกลัวมีแมลงแต่ตรวจเบื้องต้นไม่ผิดปกติแต่กลับมาทีบ้านมีเสียงกรอบแกลบในหูทำให้นอนไม่ค่อยหลับกังวลมากค่ะอาการพึ่งเป็นตอนหลังจากวิ่งเสร็จรบกลัวคุณหมอด้วยค่ะ ขี้หูอุดตัน (Impacted cerumen)
https://www.agnoshealth.com/forums/10,10,ผู้ป่วยโรคนี้ต้องรักษาด้วยวิธีไหนคะ,ภาวะผิดปกติที่เกิดจากสารเสพติด (Substance related disorder),สำคัญเป็นอันดับแรกเลยคือการหยุดยานั้นก่อนๆ แล้วฤทธิ์เฉียบพลันก็จะหายได้เองครับ แต่ถ้ามีผลเรื้อรังควรปรึกษากับจิตแพทย์ (ทั้งเรื่องผลของยาและการหยุดยา) เพื่อรักษาโดยตรงครับ,ผู้ป่วยโรคนี้ต้องรักษาด้วยวิธีไหนคะ ภาวะผิดปกติที่เกิดจากสารเสพติด (Substance related disorder)
https://www.agnoshealth.com/forums/11,11,เป็นบ่อยมากค่ะบางทีจุกถึงคอ เเต่อาการตอนนี้บอกไม่ถูกค่ะมีปวดท้องช่วงลิ้นปี่รอบสะดือเเสบร้อน ทั่วๆท้องค่ะพร้อมกับเหมือนจะมีอาการปวดอยากถ่ายท้องค่ะ,กรดไหลย้อน (GERD),ทั้งกรดไหลย้อนและโรคกราะเพาะมีสาเหตุของการปวดจากกรดในกระเพาะทั้งคู่ ซึ่งส่วนใหญ่จะเป็นอาการแสบๆบริเวณลิ้นปี่ หรือถ้าเป็นที่หลอดอาหารของกรดไหลย้อนก็จะมีอาการแสบร้อนในหน้าอกได้ สามารถทานยาลดกรดก่อนได้ในเบื้องต้นทั้งสองโรคครับ หรือสามารถอ่านรายละเอียดของโรคเพิ่มเติมได้โดยการกดที่ชื่อโรคนะครับ,เป็นบ่อยมากค่ะบางทีจุกถึงคอ เเต่อาการตอนนี้บอกไม่ถูกค่ะมีปวดท้องช่วงลิ้นปี่รอบสะดือเเสบร้อน ทั่วๆท้องค่ะพร้อมกับเหมือนจะมีอาการปวดอยากถ่ายท้องค่ะ กรดไหลย้อน (GERD)
